      1000	     23942      0.012551
      1100	     26533      0.011476
      1200	     29530      0.007535
      1300	     31973      0.009376
      1400	     34804      0.009753
      1500	     36637      0.036091
      1600	     39231      0.021002
      1700	     41191      0.012863
      1800	     45679      0.034544
      1900	     47018      0.016033
      2000	     51790      0.023043
      2100	     53505      0.038882
      2200	     55978      0.013633
      2300	     61441      0.015200
      2400	     64127      0.015064
      2500	     66994      0.016151
      2600	     71055      0.053914
      2700	     68637      0.057975
      2800	     74238      0.017777
      2900	     76892      0.060567
      3000	     82789      0.026106
      3100	     84161      0.030711
      3200	     85632      0.024484
      3300	     88336      0.025034
      3400	     92394      0.026878
      3500	     94245      0.029972
      3600	     96485      0.067348
      3700	    101417      0.079067
      3800	    103421      0.078192
      3900	    104720      0.071417
      4000	    106917      0.056264
      4100	    113252      0.123359
      4200	    114518      0.060130
      4300	    119951      0.091602
      4400	    123599      0.053020
      4500	    132048      0.031024
      4600	    125369      0.030527
      4700	    133701      0.031758
      4800	    135517      0.032150
      4900	    140030      0.042375
      5000	    138632      0.037819
       100	      1713      0.000447
       200	      3875      0.001156
       300	      6125      0.001502
       400	      8823      0.002286
       500	     11874      0.002800
       600	     13670      0.003511
       700	     15925      0.003961
       800	     18957      0.004555
       900	     20736      0.006472
      1000	     23811      0.007667
      1100	     26536      0.006431
      1200	     29848      0.007354
      1300	     32691      0.007809
      1400	     35111      0.009116
      1500	     37248      0.009406
      1600	     39740      0.009769
      1700	     44520      0.010462
      1800	     46467      0.011119
      1900	     47922      0.013240
      2000	     51563      0.012322
      2100	     54653      0.013495
      2200	     59866      0.014025
      2300	     61822      0.015078
      2400	     62434      0.015009
      2500	     65288      0.016011
      2600	     68238      0.016464
      2700	     73845      0.017725
      2800	     73534      0.017713
      2900	     75763      0.018428
      3000	     79460      0.020794
      3100	     83621      0.020283
      3200	     84508      0.020230
      3300	     89407      0.021229
      3400	     95788      0.022519
      3500	     96129      0.023020
      3600	     97781      0.022976
      3700	    100302      0.023888
      3800	    105708      0.024770
      3900	    106997      0.028242
      4000	    111842      0.027041
      4100	    113910      0.027563
      4200	    116685      0.027983
      4300	    130680      0.030533
      4400	    119505      0.044224
      4500	    123346      0.031011
      4600	    127302      0.035215
      4700	    127185      0.031497
      4800	    137562      0.034348
      4900	    138887      0.033889
      5000	    143504      0.034417
       100	      1727      0.000462
       200	      3815      0.000923
       300	      6273      0.001618
       400	      8382      0.002089
       500	     11302      0.002755
       600	     13644      0.004231
       700	     17160      0.004142
       800	     19108      0.004591
       900	     21657      0.006832
      1000	     23667      0.006517
      1100	     26053      0.006345
      1200	     28254      0.007021
      1300	     33240      0.011767
      1400	     34572      0.008344
      1500	     37690      0.009258
      1600	     42773      0.010534
      1700	     41992      0.010719
      1800	     46972      0.011626
      1900	     48715      0.012287
      2000	     51733      0.012847
      2100	     54706      0.015106
      2200	     58396      0.014175
      2300	     58639      0.014224
      2400	     64813      0.015561
      2500	     65742      0.027806
      2600	     67189      0.016533
      2700	     69171      0.020268
      2800	     75816      0.018022
      2900	     75491      0.018968
      3000	     89907      0.020636
      3100	     86171      0.025367
      3200	     88045      0.020753
      3300	     87836      0.021272
      3400	     92751      0.023112
      3500	     94504      0.022762
      3600	     97125      0.026889
      3700	     99616      0.024943
      3800	    108228      0.025949
      3900	    105931      0.026448
      4000	    114318      0.027238
      4100	    110244      0.027066
      4200	    114984      0.027717
      4300	    119585      0.031936
      4400	    125668      0.029391
      4500	    131414      0.031322
      4600	    128904      0.033858
      4700	    133110      0.031342
      4800	    139029      0.034868
      4900	    140128      0.038366
      5000	    139358      0.033799
       100	      1765      0.000465
       200	      3853      0.000943
       300	      6259      0.001589
       400	      8584      0.002124
       500	     11026      0.003806
       600	     13413      0.004721
       700	     16500      0.004375
       800	     19462      0.004586
       900	     21986      0.005218
      1000	     23831      0.006446
      1100	     27268      0.007468
      1200	     32935      0.008215
      1300	     31547      0.007722
      1400	     35910      0.009170
      1500	     37139      0.009884
      1600	     39895      0.010530
      1700	     42982      0.010263
      1800	     44952      0.012398
      1900	     48469      0.011890
      2000	     49737      0.013928
      2100	     54408      0.013516
      2200	     56940      0.014521
      2300	     60318      0.014397
      2400	     65617      0.015506
      2500	     64715      0.015806
      2600	     66292      0.016198
      2700	     73478      0.017389
      2800	     71938      0.017517
      2900	     79664      0.019297
      3000	     80702      0.020121
      3100	     87355      0.020167
      3200	     84518      0.020481
      3300	     88315      0.021286
      3400	     93935      0.022129
      3500	     95071      0.022385
      3600	     95260      0.023821
      3700	    107100      0.025657
      3800	    103105      0.025120
      3900	    108177      0.028748
      4000	    116282      0.028363
      4100	    112378      0.028256
      4200	    113430      0.028635
      4300	    119718      0.028773
      4400	    120500      0.031398
      4500	    125083      0.030672
      4600	    125577      0.033282
      4700	    131831      0.031925
      4800	    135718      0.031820
      4900	    135459      0.034225
      5000	    138110      0.033886
       100	      1911      0.000483
       200	      3827      0.000986
       300	      6086      0.001555
       400	      8676      0.002182
       500	     11200      0.005091
       600	     13768      0.003588
       700	     16457      0.004088
       800	     19923      0.005130
       900	     21476      0.005700
      1000	     23841      0.007287
      1100	     26644      0.007891
      1200	     30015      0.008611
      1300	     31711      0.011308
      1400	     33752      0.008256
      1500	     36668      0.013835
      1600	     39180      0.013643
      1700	     42985      0.010401
      1800	     47066      0.013242
      1900	     47906      0.011772
      2000	     50623      0.012751
      2100	     54408      0.014957
      2200	     59483      0.014357
      2300	     61588      0.014769
      2400	     61640      0.015039
      2500	     64394      0.015867
      2600	     68610      0.016394
      2700	     75708      0.017793
      2800	     74004      0.035624
      2900	     79100      0.041417
      3000	     84315      0.039154
      3100	     84107      0.043912
      3200	     86603      0.045596
      3300	     91953      0.030815
      3400	     90750      0.021622
      3500	     95149      0.022749
      3600	    100983      0.023849
      3700	     99901      0.029308
      3800	    103233      0.024606
      3900	    106157      0.026459
      4000	    109031      0.026276
      4100	    113888      0.029900
      4200	    117908      0.029108
      4300	    120412      0.057367
      4400	    123236      0.063146
      4500	    127140      0.081551
      4600	    126828      0.066681
      4700	    139742      0.063467
      4800	    134488      0.065790
      4900	    135128      0.082221
      5000	    136251      0.033264
       100	      1705      0.000444
       200	      3914      0.000977
       300	      6206      0.001556
       400	      8432      0.002081
       500	     10898      0.002815
       600	     13111      0.003636
       700	     17450      0.005477
       800	     18509      0.005408
       900	     20905      0.005077
      1000	     24003      0.007322
      1100	     26572      0.007836
      1200	     29161      0.013782
      1300	     32385      0.009348
      1400	     35967      0.009390
      1500	     36966      0.019211
      1600	     41919      0.010138
      1700	     42071      0.020994
      1800	     46107      0.022401
      1900	     47018      0.026428
      2000	     51722      0.028528
      2100	     54025      0.024095
      2200	     57417      0.024601
      2300	     60254      0.027893
      2400	     66142      0.026493
      2500	     64888      0.030191
      2600	     70069      0.029343
      2700	     71893      0.028015
      2800	     72971      0.038083
      2900	     79736      0.043848
      3000	     80731      0.064352
      3100	     83055      0.020429
      3200	     86254      0.020578
      3300	     89164      0.021708
      3400	     92290      0.023123
      3500	     92743      0.024633
      3600	     96254      0.023199
      3700	    100967      0.029658
      3800	    103280      0.024199
      3900	    106998      0.025711
      4000	    112987      0.027876
      4100	    116700      0.027745
      4200	    114183      0.031359
      4300	    122783      0.029807
      4400	    124392      0.030397
      4500	    127293      0.041802
      4600	    129101      0.032660
      4700	    130356      0.032668
      4800	    136559      0.043883
      4900	    134760      0.033064
      5000	    140078      0.034249
       100	      1840      0.000486
       200	      3918      0.001231
       300	      6074      0.001798
       400	      8716      0.002144
       500	     10764      0.002899
       600	     12973      0.003275
       700	     15388      0.004280
       800	     18104      0.004401
       900	     20570      0.007187
      1000	     23645      0.005767
      1100	     26377      0.006950
      1200	     28738      0.007381
      1300	     32462      0.007715
      1400	     34386      0.008963
      1500	     38913      0.010290
      1600	     40072      0.009621
      1700	     42708      0.014113
      1800	     47197      0.011229
      1900	     50345      0.012661
      2000	     51575      0.012854
      2100	     53810      0.013367
      2200	     55389      0.013450
      2300	     58805      0.014306
      2400	     64127      0.017376
      2500	     65568      0.015739
      2600	     69916      0.016762
      2700	     70494      0.017484
      2800	     73903      0.019534
      2900	     76308      0.018491
      3000	     84267      0.061044
      3100	     82135      0.023616
      3200	     84875      0.020615
      3300	     88421      0.023154
      3400	     92739      0.021901
      3500	     95069      0.022948
      3600	     95785      0.022845
      3700	    102748      0.031634
      3800	    102729      0.024872
      3900	    113381      0.027976
      4000	    105925      0.027194
      4100	    111550      0.027193
      4200	    116451      0.028308
      4300	    120227      0.029449
      4400	    120472      0.033376
      4500	    129046      0.030918
      4600	    129542      0.032303
      4700	    132394      0.047251
      4800	    131813      0.032528
      4900	    142583      0.034895
      5000	    136917      0.032918
       100	      1791      0.000472
       200	      4131      0.001019
       300	      6127      0.001457
       400	      8300      0.002083
       500	     10910      0.003420
       600	     13354      0.004757
       700	     15739      0.004020
       800	     18274      0.004563
       900	     21974      0.005346
      1000	     23454      0.006290
      1100	     27133      0.006920
      1200	     28458      0.006906
      1300	     32053      0.012825
      1400	     34418      0.008667
      1500	     38193      0.010758
      1600	     40074      0.010673
      1700	     42490      0.010470
      1800	     46066      0.012209
      1900	     47823      0.012591
      2000	     50438      0.013897
      2100	     55108      0.013361
      2200	     57607      0.013853
      2300	     62382      0.015109
      2400	     63772      0.015131
      2500	     64895      0.016212
      2600	     67234      0.016709
      2700	     73166      0.017294
      2800	     72488      0.017609
      2900	     76638      0.018678
      3000	     79022      0.019504
      3100	     88862      0.020958
      3200	     85055      0.020378
      3300	     89647      0.022377
      3400	     92922      0.022977
      3500	     94329      0.032124
      3600	     99661      0.025317
      3700	    101096      0.024049
      3800	    105427      0.025211
      3900	    103589      0.025283
      4000	    106946      0.029893
      4100	    112971      0.029768
      4200	    117586      0.029253
      4300	    121691      0.030173
      4400	    124771      0.030417
      4500	    129638      0.030623
      4600	    127945      0.040121
      4700	    129108      0.031512
      4800	    131581      0.031896
      4900	    137752      0.058571
      5000	    145025      0.034002
       100	      1772      0.000447
       200	      3898      0.001085
       300	      6101      0.001505
       400	      8258      0.002062
       500	     10623      0.003335
       600	     13697      0.003500
       700	     16163      0.004846
       800	     19214      0.004900
       900	     21883      0.009988
      1000	     24866      0.005930
      1100	     26343      0.007889
      1200	     30279      0.009144
      1300	     32323      0.009293
      1400	     34767      0.009896
      1500	     36030      0.009108
      1600	     38769      0.010351
      1700	     42479      0.010433
      1800	     48049      0.012502
      1900	     49647      0.011888
      2000	     51794      0.014064
      2100	     55331      0.013191
      2200	     56229      0.013853
      2300	     61151      0.014577
      2400	     62405      0.015645
      2500	     64365      0.015845
      2600	     69085      0.017881
      2700	     75111      0.017875
      2800	     72563      0.017685
      2900	     77981      0.018658
      3000	     80537      0.021450
      3100	     84695      0.030309
      3200	     87073      0.020739
      3300	     86957      0.021332
      3400	     91127      0.022194
      3500	    100569      0.043363
      3600	     98714      0.022944
      3700	    106813      0.024791
      3800	    103892      0.025022
      3900	    106444      0.027038
      4000	    113426      0.027133
      4100	    114670      0.027164
      4200	    114558      0.034383
      4300	    117302      0.028251
      4400	    123346      0.029376
      4500	    125620      0.030196
      4600	    126268      0.032600
      4700	    134873      0.032227
      4800	    138878      0.033250
      4900	    135915      0.033033
      5000	    139705      0.034884
       100	      1759      0.000447
       200	      3881      0.001010
       300	      6050      0.002031
       400	      8788      0.002165
       500	     10556      0.002663
       600	     13753      0.003639
       700	     15813      0.004074
       800	     18766      0.006233
       900	     21185      0.005712
      1000	     24024      0.006120
      1100	     27119      0.006480
      1200	     28548      0.006946
      1300	     33968      0.008555
      1400	     34460      0.008724
      1500	     36228      0.009709
      1600	     41616      0.010557
      1700	     41977      0.010354
      1800	     46367      0.013119
      1900	     47643      0.011900
      2000	     50571      0.012639
      2100	     53628      0.021659
      2200	     57520      0.025088
      2300	     59111      0.014747
      2400	     62150      0.015631
      2500	     65811      0.015917
      2600	     66164      0.025538
      2700	     71560      0.018802
      2800	     72880      0.017619
      2900	     79885      0.021608
      3000	     80616      0.019479
      3100	     83872      0.020149
      3200	     89053      0.042274
      3300	     91175      0.042559
      3400	     95918      0.055987
      3500	     96609      0.048932
      3600	     98987      0.045470
      3700	     98526      0.041674
      3800	    106847      0.029384
      3900	    110778      0.026673
      4000	    110246      0.027761
      4100	    115319      0.027497
      4200	    115672      0.027995
      4300	    124656      0.029999
      4400	    121725      0.031507
      4500	    124993      0.030325
      4600	    126084      0.031066
      4700	    129415      0.031544
      4800	    133515      0.035038
      4900	    135563      0.034483
      5000	    140914      0.035473
       100	      1794      0.000434
       200	      3833      0.000964
       300	      6651      0.001549
       400	      8745      0.002117
       500	     10814      0.003628
       600	     13649      0.003432
       700	     16617      0.003966
       800	     18229      0.004457
       900	     20875      0.005422
      1000	     23660      0.007148
      1100	     26129      0.006872
      1200	     28850      0.007071
      1300	     30959      0.007472
      1400	     35519      0.010263
      1500	     37511      0.009219
      1600	     40733      0.010929
      1700	     47674      0.011275
      1800	     46385      0.011456
      1900	     47746      0.012044
      2000	     53057      0.013554
      2100	     54344      0.013228
      2200	     61077      0.014579
      2300	     60053      0.014329
      2400	     60611      0.015176
      2500	     64997      0.016686
      2600	     68873      0.016564
      2700	     71787      0.017628
      2800	     76413      0.019161
      2900	     76424      0.018934
      3000	     81089      0.021520
      3100	     82360      0.019743
      3200	     83628      0.020585
      3300	     88872      0.021116
      3400	     90106      0.022201
      3500	     96344      0.023445
      3600	     94721      0.023781
      3700	    102594      0.024786
      3800	    104484      0.025160
      3900	    104674      0.026195
      4000	    113622      0.028041
      4100	    112927      0.026981
      4200	    113801      0.034345
      4300	    121358      0.030235
      4400	    120545      0.030023
      4500	    124634      0.029855
      4600	    128422      0.031606
      4700	    128454      0.032146
      4800	    137391      0.035969
      4900	    134514      0.033332
      5000	    143856      0.033985
       100	      1750      0.000457
       200	      3737      0.000973
       300	      6222      0.001550
       400	      8725      0.002151
       500	     10993      0.002961
       600	     13488      0.004737
       700	     16036      0.004039
       800	     18461      0.004790
       900	     21024      0.005061
      1000	     24168      0.007535
      1100	     26220      0.006374
      1200	     28931      0.007308
      1300	     30897      0.009153
      1400	     33576      0.008269
      1500	     36832      0.009564
      1600	     40156      0.009922
      1700	     43830      0.010440
      1800	     46906      0.011620
      1900	     47213      0.012656
      2000	     50224      0.013250
      2100	     53418      0.013468
      2200	     57662      0.016295
      2300	     61887      0.015461
      2400	     62098      0.015101
      2500	     65567      0.016243
      2600	     70636      0.017307
      2700	     70449      0.018076
      2800	     72915      0.018138
      2900	     75986      0.018831
      3000	     81336      0.020028
      3100	     81042      0.019574
      3200	     88032      0.021045
      3300	     89277      0.021895
      3400	     90014      0.029386
      3500	     93780      0.022665
